Id,Locality,Type,SubType,Sale_Type,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool
20316087,Ertvelde,House,house,Private,329000,2,0,1,0,0,1,0,0,0,0,225,Good,3,0
20316069,Hornu,House,house,Private,180000,3,138,0,0,0,1,1,1,1,140,110,As new,2,1
20316048,Beersel,House,house,Private,369000,6,230,0,0,0,1,0,0,0,230,1660,To be done up,3,1
20316039,Geraardsbergen,House,house,Private,145000,2,80,1,0,0,0,0,0,0,80,30,Good,2,0
20316038,Geraardsbergen,House,house,Private,269000,3,155,1,0,0,1,20,1,170,345,250,Good,2,0
20316037,Geraardsbergen,House,house,Private,139000,2,115,1,0,0,1,4,0,0,119,50,Good,2,0
20315970,Jumet,House,house,Private,140000,2,90,1,0,0,1,48,0,0,138,605,Good,3,0
20315960,Blaasveld,House,villa,Private,749000,7,373,1,0,1,1,0,0,0,373,923,As new,4,1
20315930,Herentals,House,house,Private,299000,3,130,1,0,0,1,0,0,0,130,344,Not Known,3,0
20315897,Beerlegem,House,house,Private,149900,2,60,0,0,0,1,0,1,140,200,200,Good,4,0
20315889,Aalst,House,house,Private,219000,3,0,0,0,0,1,0,1,64,64,183,To be done up,2,0
20315886,Gistel,House,house,Private,550000,5,216,0,0,0,0,0,0,0,216,1806,Good,4,0
20315876,Herzele,House,house,Private,300000,3,115,1,0,0,1,18,0,0,133,299,As new,3,1
20315875,Leuven,House,house,Private,695000,3,195,0,0,0,1,20,0,0,215,694,As new,4,0
20315873,Saint-Amand,House,house,Private,239000,2,195,0,0,0,0,0,0,0,195,1048,To be done up,2,0
20315872,Grobbendonk,House,house,Private,495000,3,192,1,0,0,1,0,0,0,192,566,Not Known,3,0
20315871,Deerlijk,House,house,Private,319000,3,155,0,0,0,1,0,0,0,155,234,Good,0,0
20315870,Herentals,House,house,Private,269000,3,141,1,0,0,1,0,0,0,141,177,Good,2,0
20315866,Aalst,House,house,Private,225000,3,100,0,0,0,0,0,0,0,100,121,Not Known,0,0
20315865,Brugge,House,house,Private,795000,8,386,0,0,0,0,0,0,0,386,160,To renovate,0,0
20315859,Kemzeke,House,house,Private,396353,3,0,0,0,0,0,0,0,0,0,187,As new,0,0
20315855,Berlare,House,house,Private,540000,3,188,0,0,0,1,17,0,0,205,634,Good,3,0
20315854,Haacht,House,house,Private,399000,5,174,1,0,0,1,0,1,100,274,310,Good,4,1
20315852,Gellik,House,mixed-use-building,Private,175000,3,89,0,0,0,0,0,0,0,89,260,Not Known,0,0
20315851,Mol,Apartment,apartment,Private,224000,2,126,0,0,0,1,0,0,0,126,0,Good,2,0
20315847,Wilsele,House,house,Private,430000,3,144,0,0,0,1,12,0,0,156,104,Not Known,0,0
20315846,Fontaine-Valmont,House,exceptional-property,Private,600000,4,0,0,0,0,1,0,0,0,0,0,Good,3,1
20315845,Emelgem,House,house,Private,498000,3,181,0,0,0,1,0,0,0,181,2503,Not Known,0,0
20315843,Edegem,Apartment,apartment,Private,492216,3,165,0,0,0,1,6,0,0,171,0,Not Known,0,0
20315840,Messelbroek,House,villa,Private,749000,4,333,1,0,0,1,0,0,0,333,1917,Good,4,1
20315838,Antwerpen,House,house,Private,849000,7,375,1,0,0,1,0,1,70,445,176,Good,0,0
20315837,Lauwe,House,house,Private,89000,2,103,0,0,0,1,27,1,123,253,245,To renovate,0,0
20315836,Antwerpen,House,house,Private,485000,2,156,0,0,0,0,0,0,0,156,32,Not Known,2,0
20315834,Boekhoute,House,house,Private,345000,3,145,0,0,0,1,0,1,856,1001,1060,Good,4,0
20315830,Kessel-Lo,Apartment,apartment,Private,385000,2,122,0,0,0,1,0,0,0,122,0,Good,0,0
20315829,Asper,Apartment,apartment,Private,317000,0,0,0,0,0,0,0,0,0,0,0,Good,0,0
20315827,Kemzeke,House,house,Private,396353,3,0,0,0,0,0,0,0,0,0,187,As new,0,0
20315805,Anderlecht,Apartment,flat-studio,Private,129000,1,35,1,0,0,1,4,0,0,39,0,Good,2,1
20315792,Afsnee,Apartment,apartment,Private,380000,2,99,1,0,0,1,10,0,0,109,0,Good,0,0
20315765,Herzele,House,house,Private,315000,3,216,0,0,0,0,0,0,0,216,250,Good,0,0
20315758,Vorst,Apartment,flat-studio,Private,205000,0,48,1,0,0,1,3,0,0,51,0,As new,2,1
20315720,Lembeek,House,house,Private,265000,3,160,0,0,0,1,0,0,0,160,450,To be done up,2,0
20315712,Aartselaar,Apartment,apartment,Private,399500,3,96,1,0,0,1,7,0,0,103,0,Not Known,0,0
20315702,Bassevelde,House,house,Private,475000,4,208,1,0,0,0,0,0,0,208,342,Not Known,2,0
20315699,Eeklo,House,house,Private,235000,2,0,1,0,1,0,0,0,0,0,103,Good,2,0
20315692,Marcinelle,House,house,Private,168000,2,102,1,0,0,1,10,1,100,212,235,Not Known,2,0
20315691,Courcelles,House,villa,Private,149000,2,80,1,0,0,1,20,1,1000,1100,1531,Not Known,4,0
20315565,Haine-Saint-Paul,House,house,Private,100000,2,144,1,0,0,1,25,0,0,169,65,To renovate,2,0
20315559,Gent,House,house,Private,725000,5,254,1,0,0,0,0,1,70,324,140,As new,2,0
20315537,Schellebelle,House,house,Private,299000,2,120,0,0,0,0,0,1,158,278,332,Just renovated,0,0
20315528,Sterrebeek,House,house,Private,625000,4,238,1,0,0,1,0,0,0,238,535,Not Known,4,0
20315524,Kortenberg,Apartment,apartment,Private,365000,2,112,1,0,0,1,11,0,0,123,0,Not Known,2,0
20315523,Aalst,House,house,Private,279000,3,0,1,0,0,1,0,1,40,40,143,To be done up,2,0
20315519,Auby-Sur-Semois,Apartment,apartment,Private,239900,2,97,0,0,0,1,0,0,0,97,0,As new,0,1
20315518,Berchem,Apartment,apartment,Private,408000,2,107,1,0,0,1,11,0,0,118,0,As new,2,0
20315517,Anseremme,House,house,Private,179000,2,124,0,0,0,1,9,0,0,133,950,Good,3,0
20315509,Asse,Apartment,duplex,Private,320000,2,108,0,0,0,1,34,0,0,142,0,As new,2,0
20315506,Peutie,House,house,Private,570000,5,308,1,0,0,1,20,1,50,378,132,Good,2,1
20315504,Aarschot,House,house,Private,698000,3,282,1,0,0,1,0,0,0,282,989,As new,4,0
20315503,Sint-pieters-woluwe,House,house,Private,670000,4,180,0,0,0,0,0,1,170,350,270,To renovate,2,0
20315502,Sint-pieters-woluwe,Apartment,apartment,Private,619000,3,155,1,0,0,1,33,0,0,188,0,As new,0,1
20315501,Asse,Apartment,duplex,Private,359900,2,108,0,0,0,1,34,0,0,142,0,As new,2,0
20315500,Asse,Apartment,ground-floor,Private,325000,2,89,0,0,0,1,28,1,13,130,0,As new,2,0
20315499,Asse,Apartment,ground-floor,Private,317500,2,89,0,0,0,1,24,1,13,126,0,As new,2,0
20315498,Asse,Apartment,apartment,Private,310500,2,86,0,0,0,1,12,0,0,98,0,As new,2,0
20315497,Asse,Apartment,ground-floor,Private,268800,1,77,1,0,0,1,22,1,16,115,0,As new,2,0
20315496,Asse,Apartment,apartment,Private,345000,2,97,0,0,0,1,14,0,0,111,0,As new,2,0
20315495,Asse,Apartment,ground-floor,Private,315000,2,86,0,0,0,1,15,1,32,133,0,As new,2,0
20315490,Baisy-Thy,House,house,Private,695000,8,437,1,0,0,1,50,1,1720,2207,2064,To be done up,4,1
20315488,Beerzel,House,house,Private,690000,4,270,1,0,0,0,0,0,0,270,1092,Good,4,0
20315487,Keerbergen,Apartment,apartment,Private,385000,3,156,1,0,0,1,0,0,0,156,0,Good,2,1
20315483,Gent,Apartment,apartment,Private,242000,1,60,1,0,0,0,0,0,0,60,0,Good,2,1
20315481,Ronse,House,house,Private,229000,4,136,1,0,0,1,15,1,215,366,307,As new,3,1
20315479,Kapellen,Apartment,apartment,Private,311500,2,86,1,0,0,1,11,1,20,117,0,Not Known,4,0
20315478,Kapellen,Apartment,apartment,Private,550000,3,128,1,0,0,1,69,0,0,197,0,Not Known,4,0
20315477,Kapellen,Apartment,apartment,Private,257500,1,61,1,0,0,1,24,0,0,85,0,Not Known,4,0
20315475,Kapellen,Apartment,apartment,Private,343500,2,95,1,0,0,1,13,0,0,108,0,Not Known,4,0
20315474,Kapellen,Apartment,apartment,Private,215500,1,57,1,0,0,1,4,0,0,61,0,Not Known,4,0
20315473,Kapellen,Apartment,apartment,Private,378500,3,107,1,0,0,1,43,0,0,150,0,Not Known,4,0
20315471,Schaarbeek,Apartment,penthouse,Private,725000,3,170,1,0,0,1,150,0,0,320,0,As new,4,1
20315469,Bras,Apartment,penthouse,Private,395000,3,138,1,0,0,1,46,0,0,184,0,As new,0,0
20315457,Achêne,House,house,Private,310000,2,150,1,0,0,1,15,1,158,323,158,Not Known,3,0
20315455,Nil-Saint-Vincent-Saint-Martin,House,house,Private,479000,3,134,1,0,0,1,31,1,555,720,706,Good,4,1
20315415,Jumet,House,house,Private,139000,3,104,1,0,0,0,0,0,0,104,0,To be done up,2,0
20315395,Geluwe,House,house,Private,175000,2,102,0,0,0,1,0,0,0,102,168,Good,0,0
20315297,Pommeroeul,House,villa,Private,885000,6,450,1,0,0,1,0,0,0,450,3700,As new,4,1
20315287,Koekelberg,Apartment,apartment,Private,279000,2,95,0,0,0,0,0,0,0,95,0,Good,0,0
20315257,Beveren-waas,Apartment,apartment,Private,249000,2,98,1,0,0,0,0,0,0,98,0,Just renovated,2,0
20315256,Blankenberge,Apartment,apartment,Private,215000,2,77,1,0,0,1,6,0,0,83,0,Good,2,1
20315243,Hornu,Other,kot,Private,55000,1,16,1,1,0,0,0,0,0,16,0,Good,2,0
20315236,Ganshoren,House,house,Private,269000,3,136,1,0,0,1,0,0,0,136,67,To renovate,2,0
20315222,Assebroek,House,house,Private,219000,2,80,0,0,0,0,0,0,0,80,769,Good,4,0
20315221,Assebroek,House,house,Private,229000,2,80,0,0,0,0,0,0,0,80,960,Good,4,0
20315218,Brugge,House,house,Private,369000,3,0,0,0,0,1,0,1,104,104,214,Good,2,0
20315212,Sint-Andries,House,house,Private,635000,3,0,0,0,0,1,0,0,0,0,1050,Good,4,0
20315210,Damme,House,house,Private,260000,3,157,0,0,0,1,30,0,0,187,351,To renovate,2,0
20315208,Maldegem,House,house,Private,259000,4,143,0,0,0,1,0,0,0,143,870,Good,4,0
20315205,Rillaar,House,house,Private,245000,3,145,1,0,0,1,0,0,0,145,580,Good,3,0
20315199,Astene,House,house,Private,635000,4,201,0,0,0,1,20,0,0,221,308,Good,3,0
20315198,Astene,House,house,Private,495000,4,211,0,0,0,1,0,0,0,211,240,Good,3,0
20315197,Astene,House,villa,Private,945000,4,217,0,0,1,1,0,0,0,217,1194,As new,4,0
20315195,Afsnee,Apartment,apartment,Private,365000,3,126,0,0,1,1,8,0,0,134,0,As new,0,0
20315189,Deurle,House,villa,Private,899000,4,553,0,0,0,1,0,0,0,553,1131,To be done up,4,0
20315181,Sint-martens-latem,House,villa,Private,845000,5,292,0,0,0,1,20,0,0,312,841,To renovate,4,1
20315180,Sint-martens-latem,House,villa,Private,975000,3,241,0,0,0,1,24,0,0,265,621,Good,4,0
20315178,Quaregnon,House,house,Private,100000,2,110,0,0,0,1,0,0,0,110,565,To renovate,2,1
20315176,Gontrode,House,house,Private,419000,3,160,1,0,0,0,0,0,0,160,0,Good,4,0
20315168,Elsene,Apartment,penthouse,Private,865000,3,195,1,0,0,1,45,0,0,240,0,To renovate,3,1
20315166,Faymonville,House,exceptional-property,Private,819000,6,312,1,0,0,1,59,1,3877,4248,4102,Good,4,1
20315158,Leopoldsburg,House,house,Private,429000,4,178,1,0,0,0,0,0,0,178,644,Good,0,0
20315154,Bressoux,House,house,Private,110000,2,112,0,0,0,0,0,0,0,112,88,Not Known,2,0
20315153,Wemmel,Apartment,apartment,Private,138000,1,50,1,0,0,0,0,0,0,50,0,To be done up,2,0
20315149,Laken,Apartment,penthouse,Private,239000,2,95,0,0,0,0,0,0,0,95,0,Good,2,0
20315115,Lauwe,House,house,Private,425000,4,268,1,0,0,0,0,0,0,268,535,As new,3,1
20314990,Wilrijk,Apartment,apartment,Private,255000,3,88,0,0,0,1,0,0,0,88,0,As new,0,0
20314985,Gent,Apartment,flat-studio,Private,235000,0,41,0,0,0,0,0,0,0,41,0,Good,0,0
20314968,Herzele,House,house,Private,189000,2,205,0,1,0,1,76,0,0,281,133,Good,3,1
20314941,Casteau,House,house,Private,319000,3,132,1,0,0,1,0,1,2490,2622,2490,Good,4,1
20314938,Burcht,House,house,Private,375000,3,200,0,0,0,0,0,0,0,200,306,To renovate,3,0
20314936,Deurne,House,house,Private,339000,4,175,1,0,0,1,0,0,0,175,731,To be done up,4,1
20314933,Bierghes,House,house,Private,395000,3,150,1,0,0,1,50,1,720,920,795,Good,3,1
20314932,Acoz,Apartment,duplex,Private,199900,1,0,1,0,0,1,4,0,0,4,0,As new,3,0
20314931,Acoz,House,house,Private,199900,1,0,1,0,0,1,4,0,0,4,40,As new,3,1
20314882,Kuringen,Other,bungalow,Private,285000,0,195,0,0,0,0,0,0,0,195,1521,To renovate,4,0
20314876,Bassilly,House,house,Private,230000,3,178,0,0,0,0,0,0,0,178,315,Good,3,0
20314875,Dongelberg,Apartment,apartment,Private,179000,2,97,1,0,0,1,15,1,5,117,0,To be done up,2,1
20314871,Enines,Apartment,apartment,Private,179000,2,97,1,0,0,1,15,1,5,117,0,To be done up,2,1
20314869,Awirs,Other,bungalow,Private,359000,3,160,1,0,0,1,24,1,270,454,756,Good,4,1
20314868,Amougies,House,house,Private,249000,2,150,1,0,0,1,0,0,0,150,770,Not Known,3,0
20314867,Kerksken,House,house,Private,319000,3,0,0,0,0,0,0,0,0,0,0,Not Known,0,0
20314861,Bonheiden,House,house,Private,729000,4,222,1,0,0,1,0,0,0,222,1638,Not Known,0,0
20314859,Gent,Apartment,apartment,Private,232000,1,71,1,0,0,0,0,0,0,71,0,Just renovated,0,0
20314855,Ertvelde,Apartment,apartment,Private,215000,3,100,0,0,0,0,0,0,0,100,0,Good,0,0
20314852,Ronse,House,mansion,Private,309000,4,232,1,0,0,1,12,1,158,402,310,Just renovated,2,1
20314842,Brielen,House,house,Private,250950,3,144,0,0,0,1,0,0,0,144,96,As new,2,0
20314840,Ronse,House,house,Private,189000,5,300,1,0,0,1,0,0,0,300,209,To renovate,0,0
20314839,Beveren,Apartment,apartment,Private,229000,3,90,1,0,0,1,0,0,0,90,0,Just renovated,0,0
20314838,Harelbeke,Apartment,apartment,Private,349000,3,114,0,0,0,1,0,0,0,114,0,Good,0,0
20314832,Desselgem,Apartment,apartment,Private,445126,2,136,0,0,0,1,142,0,0,278,0,Not Known,0,0
20314825,Brugge,House,house,Private,795000,2,0,0,0,0,1,0,0,0,0,0,As new,0,0
20314823,Brugge,House,house,Private,925000,3,185,1,0,0,1,0,1,915,1100,1051,Good,4,0
20314822,Casteau,House,villa,Private,495000,4,192,1,0,0,1,12,1,750,954,1000,Good,4,1
20314821,Bertem,House,house,Private,559000,4,157,1,0,0,1,0,0,0,157,280,As new,3,0
20314820,Peutie,House,house,Private,599000,4,202,0,0,0,1,14,1,150,366,0,To be done up,2,0
20314819,Anderlecht,House,mixed-use-building,Private,769000,3,142,1,0,0,0,0,0,0,142,0,To be done up,2,0
20314818,Awirs,House,house,Private,120000,2,105,0,0,0,0,0,1,1770,1875,2170,To renovate,3,0
20314816,Sint-pieters-woluwe,Apartment,apartment,Private,365000,3,110,1,0,0,1,14,0,0,124,0,Good,2,1
20314699,Herselt,Apartment,apartment,Private,335310,2,113,0,0,0,1,11,0,0,124,0,Not Known,0,0
20314698,Herselt,Apartment,apartment,Private,349065,2,117,0,0,0,1,11,0,0,128,0,Not Known,0,0
20314697,Herselt,Apartment,apartment,Private,499630,3,93,0,0,0,1,50,0,0,143,0,Not Known,0,0
20314696,Herselt,Apartment,apartment,Private,301160,1,93,0,0,0,1,22,0,0,115,0,Not Known,0,0
20314695,Mechelen,Other,service-flat,Private,295000,1,83,0,0,0,1,0,0,0,83,0,Not Known,0,0
20314694,Mechelen,Other,service-flat,Private,305000,1,83,0,0,0,1,7,0,0,90,0,Not Known,0,0
20314693,Mechelen,Other,service-flat,Private,275000,1,83,0,0,0,1,6,0,0,89,0,Not Known,0,0
20314691,Mechelen,Other,service-flat,Private,310000,1,83,0,0,0,1,7,0,0,90,0,Not Known,0,0
20314674,Brugge,House,house,Private,250000,3,129,1,0,0,0,0,0,0,129,156,Good,0,0
20314629,Afsnee,Apartment,apartment,Private,380000,2,99,1,0,0,1,10,0,0,109,0,Good,0,0
20314627,Afsnee,Apartment,apartment,Private,400000,3,111,1,0,0,1,27,0,0,138,0,Good,0,0
20314624,Afsnee,Apartment,apartment,Private,370000,2,100,1,0,0,1,10,0,0,110,0,Good,0,0
20314623,Afsnee,Apartment,apartment,Private,390000,2,96,1,0,0,1,16,0,0,112,0,Good,0,0
20314622,Afsnee,Apartment,apartment,Private,355000,2,91,1,0,0,1,14,0,0,105,0,Good,0,0
20314620,Afsnee,Apartment,apartment,Private,365000,3,101,1,0,0,1,13,0,0,114,0,Good,0,0
20314618,Afsnee,Apartment,apartment,Private,355000,3,101,1,0,0,1,13,0,0,114,0,Good,0,0
20314560,Anderlecht,Apartment,apartment,Private,345000,2,90,0,0,0,1,12,0,0,102,0,Not Known,0,0
20314504,Herenthout,Apartment,apartment,Private,299000,2,93,1,0,0,1,13,0,0,106,0,Not Known,3,0
20314476,Boezinge,House,house,Private,189000,5,199,1,0,0,0,0,0,0,199,185,Good,4,0
20314473,Heusy,House,mixed-use-building,Private,230000,2,86,1,0,0,0,0,0,0,86,193,Good,2,0
20314472,La Reid,Apartment,apartment,Private,317000,3,88,0,0,0,1,4,0,0,92,0,As new,4,0
20314470,Assebroek,Apartment,ground-floor,Private,329000,2,91,0,0,0,0,0,0,0,91,0,Not Known,2,1
20314469,Assebroek,Apartment,ground-floor,Private,329000,2,91,0,0,0,0,0,0,0,91,0,Not Known,2,1
20314467,Deurne,Apartment,apartment,Private,245000,2,94,1,0,0,1,15,0,0,109,0,Good,2,0
20314465,Borgerhout,Apartment,apartment,Private,214000,2,70,1,0,0,0,0,0,0,70,0,Good,0,0
20314462,Aisemont,House,house,Private,399000,3,133,1,0,0,0,0,0,0,133,789,Not Known,3,0
20314461,Aisemont,House,house,Private,360000,3,178,1,0,0,0,0,0,0,178,691,Not Known,0,0
20314460,Aisemont,House,house,Private,354000,4,167,1,0,0,0,0,0,0,167,610,Not Known,0,0
20314442,Schriek,House,house,Private,465000,2,121,1,0,0,1,0,0,0,121,4635,To be done up,4,1
20314428,Loppem,House,house,Private,430000,4,227,0,0,0,1,0,0,0,227,717,To be done up,4,1
20314422,Gent,Apartment,apartment-block,Private,875000,8,298,0,0,0,0,0,0,0,298,189,Not Known,2,1
20314419,Antwerpen,Apartment,apartment,Private,255000,1,55,0,0,0,0,0,0,0,55,0,Good,2,0
