Locality,Muniplicity,Region
S Gravenwezel,Antwerpen,Falnders
S Herenelderen,Limburg,Falnders
Aaigem,Oost-Vlaanderen,Brussel
Aalbeke,West-Vlaanderen,Wallonia
Aalst,Limburg,Falnders
Aalst,Oost-Vlaanderen,Brussel
Aalter,Oost-Vlaanderen,Brussel
Aarschot,Vlaams-Brabant,Brussel
Aarsele,West-Vlaanderen,Wallonia
Aartrijke,West-Vlaanderen,Wallonia
Aartselaar,Antwerpen,Falnders
Abolens,Luik,Wallonia
Abée,Luik,Wallonia
Achel,Limburg,Falnders
Achet,Namen,Brussel
Achêne,Namen,Brussel
Acosse,Luik,Wallonia
Acoz,Henegouwen,Falnders
Adegem,Oost-Vlaanderen,Brussel
Adinkerke,West-Vlaanderen,Wallonia
Affligem,Vlaams-Brabant,Brussel
Afsnee,Oost-Vlaanderen,Brussel
Agimont,Namen,Brussel
Aineffe,Luik,Wallonia
Aische-En-Refail,Namen,Brussel
Aiseau,Henegouwen,Falnders
Aisemont,Namen,Brussel
Alken,Limburg,Falnders
Alle,Namen,Brussel
Alleur,Luik,Wallonia
Alsemberg,Vlaams-Brabant,Brussel
Alveringem,West-Vlaanderen,Wallonia
Amay,Luik,Wallonia
Amberloup,Luxemburg,Brussel
Ambly,Luxemburg,Brussel
Amblève,Luik,Wallonia
Ambresin,Luik,Wallonia
Amonines,Luxemburg,Brussel
Amougies,Henegouwen,Falnders
Ampsin,Luik,Wallonia
Andenne,Namen,Brussel
Anderlecht,Brussel,Falnders
Anderlues,Henegouwen,Falnders
Andrimont,Luik,Wallonia
Angleur,Luik,Wallonia
Angre,Henegouwen,Falnders
Angreau,Henegouwen,Falnders
Anhée,Namen,Brussel
Anlier,Luxemburg,Brussel
Anloy,Luxemburg,Brussel
Annevoie-Rouillon,Namen,Brussel
Ans,Luik,Wallonia
Anseremme,Namen,Brussel
Anseroeul,Henegouwen,Falnders
Antheit,Luik,Wallonia
Anthisnes,Luik,Wallonia
Anthée,Namen,Brussel
Antoing,Henegouwen,Falnders
Antwerpen,Antwerpen,Falnders
Antwerpen,Antwerpen,Falnders
Antwerpen,Antwerpen,Falnders
